用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈1,注釈2
異議のある債権者,いぎのあるさいけんしゃ,,creditor who has an objection,,,,,,
異議の申立て,いぎのもうしたて,1,filing of an objection,原則,,,,,
異議の申立て,いぎのもうしたて,2,filing of an opposition to a granted patent,特許異議の申立,,,,,
異議の申出,いぎのもうしで,1,filing of an objection,,,,,,
異議の申出,いぎのもうしで,2,filing of an opposition,,,,,,
異議申立書,いぎもうしたてしょ,1,written objection,,,,,,
異議申立書,いぎもうしたてしょ,2,written opposition,,,,,,
異議申立人,いぎもうしたてにん,1,person filing an objection,書面による異議の場合,,,,【注】定義語としておく場合は「petitioner」とする場合がある。,
異議申立人,いぎもうしたてにん,2,person raising an objection,口頭での異議の場合,,,,,
異議申立人,いぎもうしたてにん,3,opponent,,,,,,
育児,いくじ,,childcare,,,,,,
育児休業,いくじきゅうぎょう,,childcare leave,,,,,,
意見,いけん,,opinion,,,,,,
意見書,いけんしょ,,written opinion,,,,,,
意見聴取,いけんちょうしゅ,1,hearing of opinions,,,,,,
意見聴取,いけんちょうしゅ,2,hearing,,,,,,
意見を述べる,いけんをのべる,,state one's opinion,,,,,,
遺言,いごん,,will,,,,,,
遺言執行者,いごんしっこうしゃ,,executor,,,,,,
遺言者,いごんしゃ,,testator,,,,,,
遺言書,いごんしょ,,will,,,,,,
遺産,いさん,,estate,,,,,,
遺産の分割,いさんのぶんかつ,,division of estate,,,,,,
意思,いし,1,intent,,,,,,
意思,いし,2,intention,,,,,,
遺失物,いしつぶつ,,lost property,,,,,,
意思能力,いしのうりょく,,mental capacity,,,,,,
意思表示,いしひょうじ,,manifestation of intention,,,,,,
慰謝料,いしゃりょう,,solatium,,,,,【注】（出典）所得税法施行令30条,
慰謝料,いしゃりょう,,solatium,,,,,,【複数形】solatia
囲障,いしょう,,fence,,,,,,
意匠,いしょう,,design,,,,,,
…以上,いじょう,1,… or more,原則,２０歳以上,20 years of age or more,,,
…以上,いじょう,2,not less than …,下限を示すことに重点がある場合,１年以上の,for not less than 1 year,,,
…以上,いじょう,3,… or heavier,刑の場合,罰金以上の刑,fine or heavier punishment,,,
意匠権,いしょうけん,,design right,,,,,,
意匠権者,いしょうけんしゃ,,holder of a design right,,,,,,
意匠原簿,いしょうげんぼ,,design register,,,,,,
意匠公報,いしょうこうほう,,design gazette,,,,,,
意匠登録,いしょうとうろく,,design registration,,,,,,
意匠登録出願,いしょうとうろくしゅつがん,,application for design registration,,,,,,
意匠登録証,いしょうとうろくしょう,,certificate of design registration,,,,,,
意匠の創作をした者,いしょうのそうさくをしたもの,,creator of a design,,,,,,
委嘱,いしょく,1,commission,,,,,,【動詞】委嘱する: commission
委嘱,いしょく,2,entrustment,,,,,,【動詞】委嘱する: entrust
委嘱,いしょく,3,delegation,,,,,,【動詞】委嘱する: delegate
移送,いそう,1,transfer,,,,,,【動詞】移送する: transfer
移送,いそう,2,transportation,,,,,,【動詞】移送する: transport
遺贈,いぞう,1,legacy,,,,,,
遺贈,いぞう,2,bequest,,,,,,
移送の裁判,いそうのさいばん,1,decision of transfer,,,,,,
移送の裁判,いそうのさいばん,2,decision to transfer,,,,,,
遺族,いぞく,1,surviving family (member),個々の遺族を指す場合,,,,,
遺族,いぞく,2,bereaved family,,,,,,
遺族基礎年金,いぞくきそねんきん,,basic pension for surviving family,,,,,,
遺族補償一時金,いぞくほしょういちじきん,,lump sum compensation for surviving family,,,,,,
遺族補償年金前払一時金,いぞくほしょうねんきんまえばらいいちじきん,,compensation pension advance for surviving family,,,,,,
委託,いたく,1,entrustment,,,,,,
委託,いたく,2,consignment,,,,,,
委託,いたく,3,delegation,（信託法・信託業法における）権限の委託,,,,,
委託者,いたくしゃ,1,requesting party,,,,,,
委託者,いたくしゃ,2,delegating party,,,,,,
委託者,いたくしゃ,3,entrustor,その他の事務の委託,,,,,
委託者,いたくしゃ,4,settlor,信託,,,,,
委託者,いたくしゃ,5,consignor,販売・運送等の委託,,,,,
委託者指図型投資信託,いたくしゃさしずがたとうししんたく,,investment trust with settlor's instructions,,,,,,
委託者非指図型投資信託,いたくしゃひさしずがたとうししんたく,,investment trust without settlor's instructions,,,,,,
委託する,いたくする,1,request,一般に委託する場合,,,,,
委託する,いたくする,2,ask,一般に委託する場合,,,,,
委託する,いたくする,3,delegate,権限を代わって行使することを委託する場合,,,,,
委託する,いたくする,4,entrust,信認関係の下で事務を委託する場合,,,,,
委託する,いたくする,5,consign,商品の販売を委託する場合,,,,,
委託料金,いたくりょうきん,,commission,,,,,,
一時金,いちじきん,,lump sum payment,,,,,,
一時庇護,いちじひご,,temporary refuge,,,,,,
一時所得,いちじしょとく,,occasional income,,,,,,
著しい,いちじるしい,,extreme,,,,,,
著しい損害又は遅滞,いちじるしいそんがいまたはちたい,,extreme harm or delay,,裁判所は、著しい損害又は遅滞を避けるため必要があると認めるときは、…,"When the court finds it is necessary for avoiding extreme harm or delay,…",会社法第835条,,
一部改正,いちぶかいせい,,partial amendment,,,,,,
一括売却,いっかつばいきゃく,,disposal by a sale en bloc,,,,,【注】（出典）破産法78条2項4号,
一身専属性,いっしんせんぞくせい,,personal nature,,,,,,
一般異議申述期間,いっぱんいぎしんじゅつきかん,,ordinary period for making objections,,,,,【注】（出典）民事再生法222条3項,
一般財団法人,いっぱんざいだんほうじん,,general incorporated foundation,,,,,,
一般社団法人,いっぱんしゃだんほうじん,,general incorporated association,,,,,,
一般承継人,いっぱんしょうけいにん,,general successor,,前項の規定による請求は、…一般承継人と共同してしなければならない,requests pursuant to the provisions of the preceding paragraph must be made jointly …with the person's general successors,会社法第133条第2項,,
一般消費者,いっぱんしょうひしゃ,,general consumers,,,,,,
一般職,いっぱんしょく,,regular service,,,,,,
一般信書便事業,いっぱんしんしょびんじぎょう,,general correspondence delivery service,,,,,,
一般調査期間,いっぱんちょうさきかん,,ordinary period for investigation,,,,,【注】（出典）破産法112条,
一般調査期日,いっぱんちょうさきじつ,,ordinary date of investigation,,,,,,
一般に公正妥当と認められる企業会計の基準,いっぱんにこうせいとみとめられるきぎょうかいけいのきじゅん,,business accounting standards generally accepted as fair and appropriate,,,,,,
一般の先取特権,いっぱんのさきどりとっけん,,general statutory lien,,,,,,
一般の優先権がある債権,いっぱんのゆうせんけんがあるさいけん,,general priority claim,,,,,【注】（出典）民事再生法122条1項,
一般弁済期間,いっぱんべんさいきかん,,general period for payment,,,,,【注】（出典）民事再生法199条,
偽りその他不正の行為,いつわりそのたふせいのこうい,,deception or other wrongful act,,,,,,
偽りその他不正の手段,いつわりそのたふせいのしゅだん,,deception or other wrongful means,,,,,,
移転,いてん,1,transfer,権利等の移転,鉱業権、工業所有権その他これらに類する権利の移転,"transfer of the mining right, industrial property right or other right similar thereto",外国為替令第14条第1項第4号,,
移転,いてん,2,relocation,主たる事務所の移転など,支店の設置、移転及び廃止,"The establishment, relocation and closure of branch offices",会社法第482条第3項第2号,,
移転,いてん,3,removal,人・物の場所的な移動など,,,,,
遺伝子組換え生物,いでんしくみかえせいぶつ,1,genetically modified organism,原則,,,,【注】（出典）生物多様性条約,
遺伝子組換え生物,いでんしくみかえせいぶつ,2,living modified organism,食物等を含まない場合,,,,【注】（出典）カルタヘナ議定書,
遺伝子組換え微生物,いでんしくみかえびせいぶつ,1,genetically modified microorganism,原則,,,,,
遺伝子組換え微生物,いでんしくみかえびせいぶつ,2,modified microorganisms,食物等を含まない場合,,,,,
委任,いにん,1,mandate,民法上の委任契約,委任は、当事者の一方が法律行為をすることを相手方に委託し、相手方がこれを承諾することによって、その効力を生ずる。,"A mandate becomes effective when one of the parties mandates the other party to perform a juridical act, and the other party accepts the mandate.",民法第643条,,
委任,いにん,2,delegation,権限の委任という意味での委任,ある種類又は特定の事項の委任を受けた使用人,Employees to Whom the Authority for a Certain Kind of Matter or a Specific Matter Is Delegated,会社法第14条,,
委任,いにん,3,entrustment,,,,,,
委任事務,いにんじむ,,delegated business,,,,,,
委任状,いにんじょう,1,power of attorney,,,,,,
委任状,いにんじょう,2,proxy,会社法関係や会議の代理委任状,,,,【注】（出典）商法26条,
委任による代理人,いにんによるだいりにん,,privately appointed agent,,委任による代理人は、…復代理人を選任することができない,A privately appointed agent may not appoint a sub-agent …,民法第104条,,
威迫,いはく,,intimidation,,,,,,【動詞】威迫する: intimidate
違反,いはん,1,violation,,違反事件,a case of violation,出入国管理及び難民認定法第31条,,
違反,いはん,1,violation,,,,,,【動詞】違反する: violate
違反,いはん,2,offense,,,,,,【動詞】違反する: offend
違反,いはん,3,contravention,,第三十五条第一項の規定に違反して財務諸表等を備えて置かず、財務諸表等に記載すべき事項を記載せず、若しくは虚偽の記載をし、,"a person who fails to prepare financial statements, etc., fails to record necessary items or makes false records contravening the provisions of Article 35, paragraph (1)",工業標準化法第74条第2号,,
違反,いはん,3,contravention,,,,,,【動詞】違反する: contravene
違反,いはん,4,breach,,秘密保持命令違反の罪,Crime of breach of protective order,特許法第200条の2,,
違反,いはん,4,breach,,,,,,【動詞】違反する: breach
違反行為,いはんこうい,1,violation,,,,,,
違反行為,いはんこうい,2,illegal conduct,,,,,,
違反調査,いはんちょうさ,,investigation into violation,,,,,,
委付,いふ,,abandonment (abandon),,,,,,
違法な,いほうな,1,illegal,,違法行為等の是正,"Rectification of Illegal Acts, etc.",日本銀行法第56条タイトル,,
違法な,いほうな,2,unlawful,,,,,【注】unlawfulは一般にillegalと同義に用いられるが、illegalが法の明示の禁止に違反していることを意味するのに対し、unlawfulは公序良俗に反するなどの理由によって意図された効果を発生させないものを意味するというように、区別して用いられることがある。,
違約金,いやくきん,,penalty,,,,,,
医薬品,いやくひん,1,medicine,,,,,,
医薬品,いやくひん,2,drug,,,,,,
医薬品,いやくひん,3,pharmaceutical,,,,,,
医薬部外品,いやくぶがいひん,,quasi-pharmaceutical products,,,,,,
入会権,いりあいけん,,right of common,,,,,,
遺留した物,いりゅうしたぶつ,,article left behind,,,,,,
遺留分,いりゅうぶん,,statutory reserved share,,,,,,
医療給付,いりょうきゅうふ,,medical care benefit,,,,,,
医療費控除,いりょうひこうじょ,,medical expense deduction,,,,,,
威力,いりょく,,force,,,,,,
印影,いんえい,,seal impression,,,,,,
印鑑,いんかん,1,seal impression,印影の趣旨で用いられる場合,,,,,
印鑑,いんかん,2,seal,印章の趣旨で用いられる場合,,,,,
印鑑証明書,いんかんしょうめいしょ,,registered seal certificate,,,,,,
印鑑登録,いんかんとうろく,,seal registration,,,,,,
印章,いんしょう,,seal,,,,,【注】印影の趣旨で用いられる場合はseal impression,
姻族,いんぞく,1,affinity,,,,,,
姻族,いんぞく,2,relatives by marriage,,,,,,
引致,いんち,,physical escort,,,,,,【動詞】引致する: physically escort
隠匿,いんとく,,concealment,,犯罪による収益の隠匿及び収受,concealment and receipt of proceeds of crime,組織的犯罪処罰法第1条,,
隠匿,いんとく,,concealment,,,,,,【動詞】隠匿する: conceal
隠避させる,いんぴさせる,1,enable to escape,犯人隠避,,,,【注】（出典）刑法103条,
隠避させる,いんぴさせる,2,hide,被略取者,,,,【注】（出典）刑法227条2項,
陰謀,いんぼう,,plot,,,,,,
隠滅,いんめつ,1,destruction,一般的な場合,,,,,
隠滅,いんめつ,2,spoliation,刑事の場合（滅失・改竄を含む）,,,,,
受入れ,うけいれ,1,acceptance,,,,,,【動詞】受け入れる: accept
受入れ,うけいれ,2,receipt,,,,,,
受入移送,うけいれいそう,,incoming transfer,,,,,,
受入収容状,うけいれしゅうようじょう,,writ of commitment for incoming transfer,,,,,,
受入受刑者,うけいれじゅけいしゃ,,incoming sentenced person,,,,,"【注】国連人権Ｂ規約第５回政府報告書において、prison、prisonerという表現を避け、「被収容者」inmate、「受刑者」sentenced inmate、「未決被収容者」unsentenced inmateに統一する扱いとなったが、""inmate""は単独で「受刑者」の意味を持ちうる語であるため、本辞書においては、「受刑者」については""inmate""部分に""person""を充てたsentenced personを、「未決被収容者」については""detainee""を充てたunsentenced detaineeを選定した。",
請負,うけおい,,contract for work,,,,,,
請負人,うけおいにん,,contractor,,,,,,
受取証書,うけとりしょうしょ,,receipt,,,,,,
受取手形,うけとりてがた,,negotiable instrument receivable,会計勘定科目,,,,,
氏,うじ,,surname,,,,,,
打切補償,うちきりほしょう,,compensation for discontinuance,,,,,,
訴え,うったえ,1,action,,訴えを提起する,filing an action,会社法第601条,,
訴え,うったえ,2,suit,,,,,,
訴え,うったえ,3,lawsuit,,,,,,
訴え,うったえ,4,litigation,,審査請求と訴訟との関係,Relationship Between Request for Examination and Litigation,生活保護法第69条,,
訴えによって,うったえによって,,by filing an action,,前項の規定による取消権は、訴え又は抗弁によって、行使する,The rights of rescission under the provisions of the preceding paragraph are exercised by the filing of an action or defense,会社法第544条第2項,,
訴えの提起が悪意によるものであること,うったえのていきがあくいによるものであること,,that the action was filed in bad faith,,,,,,
訴えの変更,うったえのへんこう,,amendment of claim,,,,,【注】この場合の「訴え」は請求の趣旨の変更の意味であるため、claimとする。,
裏書,うらがき,,indorsement,,指図証券の譲渡は、その証券に譲渡の裏書をして譲受人に交付しなければ、その効力を生じない。,Assignment of a negotiable instrument payable to order does not become effective unless the instrument is indorsed and delivered to the assignee.,民法第520条の2,,
裏書,うらがき,,indorsement,,,,,"【注】 本辞書では、手形・小切手等の指図証券の「裏書」の訳語には、negotiable instrumentsやsecurity certificatesに関し法的な文脈で主としてアメリカで使われるindorsement (indorse, indorser)を使う（UCC§3-204(a)、§8-102(a)(11)参照）。イギリス英語圏ではこの場合にendorsement (endorse, endorser)を使うことがある。",
裏書,うらがき,,indorsement,,,,,,【動詞】裏書する: indorse
裏書人,うらがきにん,,indorser,,為替手形の振出人又は裏書人である再生債務者について再生手続が開始された場合において、支払人又は予備支払人がその事実を知らないで引受け又は支払をしたときは、その支払人又は予備支払人は、これによって生じた債権につき、再生債権者としてその権利を行うことができる。,"If a rehabilitation proceeding has commenced against a rehabilitation debtor who is the drawer or indorser of a bill of exchange, and the drawee or the backup drawee accepts or pays the bill in good faith, the drawee or the backup drawee may exercise their rights as a rehabilitation creditor under a claim arising from the acceptance or payment.",民事再生法第46条第1項,,
裏書の連続,うらがきのれんぞく,,uninterrupted series of indorsements,,,,,,
売上原価,うりあげげんか,,cost of sales,会計勘定科目,,,,,
売上高,うりあげだか,1,sales,,,,,,
売上高,うりあげだか,2,sales volume,,,,,,
売上高,うりあげだか,3,net sales,会計勘定科目,,,,,
売掛金,うりかけきん,,accounts receivable,会計勘定科目,,,,,
売出し,うりだし,,secondary distribution,,,,,,
売付け,うりつけ,,selling,,,,,,
売渡し,うりわたし,,sale,,,,,,
売渡株式,うりわたしかぶしき,,shares subject to a cash-out,会社法の場合,,,,,
売渡株式等,うりわたしかぶしきとう,,"shares, etc. subject to a cash-out",会社法の場合,,,,,
売渡株式等の取得の無効の訴え,うりわたしかぶしきとうのしゅとくのむこうのうったえ,,"action to invalidate the acquisition of the shares, etc. subject to a cash-out",会社法の場合,,,,,
売渡株主,うりわたしかぶぬし,,shareholder subject to a cash-out,会社法の場合,,,,,
売渡株主等,うりわたしかぶぬしとう,,"shareholder, etc. subject to a cash-out",会社法の場合,,,,,
売渡新株予約権,うりわたししんかぶよやくけん,,share option subject to a cash-out,会社法の場合,,,,,
売渡新株予約権者,うりわたししんかぶよやくけんしゃ,,share option holder subject to a cash-out,会社法の場合,,,,,
運営,うんえい,1,operation,,,,,,【動詞】運営する: operate
運営,うんえい,2,management,,,,,,【動詞】運営する: manage
運営,うんえい,3,administration,,協議組織の設置及び運営,establishment and administration of a consultative organization,労働安全衛生法第30条第1項第1号,,
運営,うんえい,3,administration,,,,,,【動詞】運営する: administer
運営委員会,うんえいいいんかい,1,management committee,,,,,,
運営委員会,うんえいいいんかい,2,operation committee,,,,,,
運営評議員会,うんえいひょうぎいんかい,,management council,,,,,,
運送,うんそう,,transportation,,,,,,【動詞】運送する: transport
運送業者,うんそうぎょうしゃ,,carrier,,,,,,
運送賃,うんそうちん,,freight (charge),,,,,,
運送取扱営業,うんそうとりあつかいえいぎょう,,forwarding agency,,,,,,
運送取扱人,うんそうとりあつかいにん,,freight forwarder,,,,,,
運送人,うんそうにん,,carrier,,,,,,
運送品,うんそうひん,1,goods,,,,,,
運送品,うんそうひん,2,freight,,,,,,
運送品,うんそうひん,3,cargo,,,,,,
運送保険,うんそうほけん,,cargo insurance,,,,,,
運用,うんよう,1,operation,一般的な場合,,,,,【動詞】運用する: operate
運用,うんよう,2,investment,資産の運用,金銭を運用することによって得られた収益,the profits obtained by investing the money,保険業法第89条第2項,,
運用,うんよう,2,investment,資産の運用,,,,,【動詞】運用する: invest
運用,うんよう,3,utilization,,国内にある資産の運用、保有若しくは譲渡,"utilization, holding or transfer of assets located in Japan",法人税法第138条,,
運用,うんよう,3,utilization,,,,,,【動詞】運用する: utilize
運用資金,うんようしきん,,operating fund,,,,,,
運用報告書,うんようほうこくしょ,,investment report,,,,,,
映画製作者,えいがせいさくしゃ,,maker of cinematographic works,,,,,,
映画の著作物,えいがのちょさくぶつ,,cinematographic work(s),,,,,"【注】通例""works""（複数形）",
営業,えいぎょう,1,business,原則,,,,,
営業,えいぎょう,2,operation,会社法・商法等の関係で「事業（business）」との訳し分けが必要な場合やその他の場合,,,,"【Note】In the Companies Act of 2006, new word ""jigyo"" was introduced to mean those what was called in the past as ""eigyo"", because the word ""jigyo"" was more popular in the actual business world. Therefore, in the new Companies Act, the word ""jigyo"" is used",
営業外費用,えいぎょうがいひよう,,non-operating expenses,会計勘定科目,,,,,
営業所,えいぎょうしょ,1,place of business,商人の営業の本拠で、営業上の活動が行われる一定の場所をいう場合,,,,,
営業所,えいぎょうしょ,2,business office,「事務所」、「事業所」、「事業場」などのように物理的な営業の行われる場所を意味する場合,,,,,
営業損失,えいぎょうそんしつ,,operating loss,会計勘定科目,,,,,
営業年度,えいぎょうねんど,1,business year,原則,,,,,
営業年度,えいぎょうねんど,2,fiscal year,会社法・商法等の関係で「事業年度(business year)」との訳し分けが必要となる場合,,,,,
営業の部類,えいぎょうのぶるい,1,line of business,原則,自己又は第三者のためにその商人の営業の部類に属する取引をすること,"carry out, for the manager or for a third party, any transaction which is in the line of business of the merchant",商法第23条第1項第2号,,
営業の部類,えいぎょうのぶるい,2,line of operations,会社法・商法等の関係で「事業の部類(line of business)」との訳し分けが必要となる場合,,,,,
営業秘密,えいぎょうひみつ,,trade secret,,,,,,
営業報告書,えいぎょうほうこくしょ,1,business report,原則,,,,,
営業報告書,えいぎょうほうこくしょ,2,operating report,会社法・商法等の関係で「事業報告書(business report)」との訳し分けが必要となる場合,,,,,
永小作権,えいこさくけん,,farming right,,永小作権の内容,content of farming right,民法第270条,,
永小作人,えいこさくにん,,farming right holder,,永小作人は、…耕作又は牧畜をする権利を有する,A farming right holder has the right to engage in cultivation or livestock farming …,民法第270条,,
永住,えいじゅう,,permanent residence,,,,,,
永住許可,えいじゅうきょか,,permission for permanent residence,,,,,,
永住者,えいじゅうしゃ,,permanent resident,,,,,,
衛生,えいせい,1,health,,,,,【注】healthの方がsanitationよりも意味が広い。,
衛生,えいせい,2,sanitation,,,,,,
衛生委員会,えいせいいいんかい,,health committee,,,,,,
衛生管理責任者,えいせいかんりせきにんしゃ,,health manager,,,,,,
衛生推進者,えいせいすいしんしゃ,,health promoter,,,,,,
影像,えいぞう,,image,,,,,,
営利,えいり,,profit,,,,,,
営利企業,えいりきぎょう,,enterprise for profit,,,,,,
営利事業,えいりじぎょう,,business for profit,,,,,,
営利の目的,えいりのもくてき,,for (the purpose of) profit,,,,,,
疫学的調査,えきがくてきちょうさ,,epidemiological survey,,,,,,
益金,えききん,,gross income,,,,,,
役務,えきむ,,service,,,,,,
役務提供委託,えきむていきょういたく,,service contract,,,,,,
閲覧,えつらん,,inspection,,,,,,【動詞】閲覧する: inspect
遠隔の地,えんかくのち,,remote place,,,,,,
延期,えんき,,postponement,,,,,,【動詞】延期する: postpone
縁組,えんぐみ,,adoption,,,,,,
援護,えんご,1,aid,,危険を回避するために必要な援護,necessary aid for avoiding danger,障害者自立支援法第5条第4項,,
援護,えんご,2,assistance,,就業の促進、住宅の確保、援護等に関する制度の利用,"employment promotion, housing procurement, and the use of systems for social assistance",DV防止法第3条第3項第4号,,
援助,えんじょ,1,assistance,,,,,,
援助,えんじょ,2,support,,,,,,
延焼,えんしょう,,(fire) spread,,,,,,
延滞税,えんたいぜい,,tax on delinquency,,,,,,
援用,えんよう,1,invocation,法的主張の援用,時効の援用,invocation of prescription,民法第145条,,
援用,えんよう,1,invocation,法的主張の援用,,,,,【動詞】援用する: invoke
